A Typical Truck,0.65,-1
Acura Integra,0.33,-1
Acura RSX,0.33,-1
Aleko 2141,0.35,-1
Alfa Romeo 155,0.29,-1
Alfa Romeo 156,0.31,-1
Alfa Romeo 164,0.3,-1
Alfa Romeo 33,0.36,-1
Alfa Romeo B.A.T. Concept,0.19,-1
Alfa Romeo Disco Volante,0.26,-1
Alfa Romeo Giulia (saloon),0.33,-1
Alfa Romeo Giulia Advanced Efficiency,0.23,-1
Alfa Romeo Giulia sedan,0.34,-1
Alfa Romeo Giulietta Sprint Speciale,0.28,-1
Alfa Romeo MiTo,0.29,-1
Aptera 2 Series2e Prototype,0.15,-1
Aptera Sol Prototype,0.13,-1
Ariel Atom,0.4,-1
Aston Martin DB9,0.34,-1
Aston Martin Vanquish,0.35,-1
Audi A3,0.31,-1
Audi A4 2.0 TDI ultra (110 kW),0.23,0.51
Audi A4 B5,0.31,-1
Audi A5,0.31,-1
Aurel PersuStreamliner,0.22,-1
Avion,0.27,-1
BMW 3 Series (E90)(0.26-0.30),0.26,-1
BMW 3 Series (F30/F31) 320d EfficientDynamics,0.26,-1
BMW 320d (G20),0.23,-1
BMW 5 Series (E34),0.3,-1
BMW 5 series (G30) 520d EfficientDynamics,0.22,-1
BMW 7 Series,0.31,-1
BMW E30 M3,0.33,0.629
BMW i8,0.26,-1
BMW M3 Convertible,0.35,-1
BMW M3 Coupe,0.32,-1
BMW Vision EfficientDynamicsConcept,0.22,-1
BMW Z3 M coupe,0.37,-1
BMW Z4 M coupe,0.35,-1
Buick Park Avenue,0.31,-1
Buick Riviera,0.32,-1
Cadillac ATS,0.299,-1
Cadillac CTS,0.31,-1
Cadillac CTS-V,0.31,-1
Cadillac Escalade hybrid,0.36,-1
Cadillac Fleetwood,0.36,-1
Caterham Seven,0.7,-1
Chevrolet Astro,0.4,-1
Chevrolet Bolt,0.308,-1
Chevrolet C6 Corvette Z06,0.34,-1
Chevrolet Camaro,0.338,-1
Chevrolet Caprice,0.34,-1
Chevrolet Caprice(sedan),0.33,-1
Chevrolet Corsica,0.329,-1
Chevrolet Corvette C6(coupe),0.286,-1
Chevrolet Impala,0.33,-1
Chevrolet Tahoe,0.39,-1
Chevrolet Tahoe hybrid,0.34,-1
Chevrolet Volt,0.281,-1
Chrysler 300C,0.32,-1
Chrysler Concorde,0.288,-1
Chrysler Ghia Dart,0.17,-1
Chrysler Sebring,0.36,-1
Daewoo Espero,0.32,-1
Daihatsu UFE-IIIConcept,0.168,-1
Dodge Avenger,0.32,-1
Dodge Charger,0.33,-1
Dodge Dart (PF),0.285,-1
Dodge Durango,0.39,-1
Dodge Intrepid ESX Concept,0.19,-1
Dodge Viper GTS,0.35,-1
Dodge ViperRT/10,0.45,-1
Dymaxion Car,0.25,-1
Eagle Vision,0.31,-1
Ecorunner 8 (Shell Eco-marathon) Prototype,0.045,-1
Ecorunner V (Shell Eco-marathon) Prototype,0.0512,-1
Ecorunner VI (Shell Eco-marathon) Prototype,0.048,-1
Edison2 Very Light Car Automotive X Prize winner,0.16,0.258
Ferrari 360 Modena,0.34,-1
Ferrari California,0.32,-1
Ferrari F40,0.34,-1
Ferrari F430 F1,0.34,-1
Ferrari F50,0.372,-1
Ferrari Testarossa,0.36,-1
Fiat 500,0.38,-1
Fiat Coupe,0.31,-1
Fiat Croma,0.32,-1
Fiat Ritmo,0.38,-1
Fiat Tipo,0.29,-1
Fiat Turbina Concept,0.14,-1
Fiat Uno,0.34,-1
Ford Aerostar,0.39,-1
Ford Crown Victoria,0.33,0.808
Ford Escape,0.29,-1
Ford Escape Hybrid,0.4,1.08
Ford Escort,0.36,-1
Ford Escort Mk.III (Europe),0.37,-1
Ford Escort ZX2,0.33,-1
Ford Falcon,0.31,-1
Ford Focus 3-door,0.36,-1
Ford Focus C-Max,0.29,-1
Ford Focus RS,0.355,-1
Ford Focus sedan,0.31,-1
Ford Fusion,0.275,-1
Ford Mustang,0.36,-1
Ford Mustang(coupe),0.46,-1
Ford Mustang(fastback),0.44,-1
Ford Probe,0.304,-1
Ford Puma,0.34,-1
Ford Ranger,0.4,-1
Ford Sierra,0.34,-1
Ford Taurus,0.3,-1
Ford Territory,0.38,-1
Ford Thunderbird,0.31,-1
Ford Windstar,0.35,-1
Fortis Saxonia (Shell Eco-marathon) Concept,0.08,-1
FSM Beskid Polish hatchback prototype,0.29,-1
General Motors EV1,0.19,-1
General Motors Precept Concept (5 seats),0.16,-1
General Motors Ultralite,0.19,-1
Geo Metro (Sedan),0.32,-1
Geo Metro(Hatchback),0.34,-1
Holden Commodore,0.31,-1
Honda Accord Coupe,0.29,-1
Honda Accord Sedan,0.33,-1
Honda Ascot Innova (Sedan),0.32,-1
Honda Civic,0.36,-1
Honda Civic (Coupe),0.32,-1
Honda Civic (Hatchback DX),0.32,-1
Honda Civic (Sedan EX),0.32,-1
Honda Civic Hatchback,0.33,-1
Honda CRX HF,0.29,0.53
Honda Del Sol,0.35,-1
Honda NSX,0.32,-1
Honda Odyssey,0.39,-1
Honda Prelude,0.34,-1
Honda S2000,0.33,-1
Hummer H2,0.57,2.46
Hyundai Elantra,0.27,-1
Hyundai Ioniq,0.24,-1
Hyundai Sonata,0.27,-1
Hyundai Veloster,0.32,-1
Jaguar XE,0.26,-1
Jaguar XJ (X350),0.32,-1
Jaguar XJ(X300/X308),0.37,-1
Jaguar XJS,0.4,-1
Jaguar XKR,0.35,-1
